genus_name,scientific_name,family_name,order_name,class_name,phylum_name,kingdom_name,infra_name,population,category
Agabus,Agabus discicollis,DYTISCIDAE,COLEOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EN
Agabus,Agabus hozgargantae,DYTISCIDAE,COLEOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EN
Agathothoma,Agathothoma finalis,TURRIDAE,NEOGASTROPODA,GASTROPODA,MOLLUSCA,ANIMALIA,,,DD
Aglaodiaptomus,Aglaodiaptomus kingsburyae,DIAPTOMIDAE,CALANOIDA,MAXILLOPODA,ARTHROPODA,ANIMALIA,,,VU
Aglaodiaptomus,Aglaodiaptomus marshianus,DIAPTOMIDAE,CALANOIDA,MAXILLOPODA,ARTHROPODA,ANIMALIA,,,VU
Agonostomus,Agonostomus telfairii,MUGILIDAE,MUGILIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Cuniculus,Cuniculus paca,CUNICULIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Cuniculus,Cuniculus taczanowskii,CUNICULIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Plebejus,Plebejus zullichi,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EN
Agrotis,Agrotis crinigera,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Agrotis,Agrotis fasciata,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Agrotis,Agrotis kerri,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Agrotis,Agrotis laysanensis,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Agrotis,Agrotis photophila,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Agrotis,Agrotis procellaris,NOCTUIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,EX
Ailuropoda,Ailuropoda melanoleuca,URSIDAE,CARNIVORA,MAMMALIA,CHORDATA,ANIMALIA,,,VU
Ailurus,Ailurus fulgens,AILURIDAE,CARNIVORA,MAMMALIA,CHORDATA,ANIMALIA,,,EN
Akodon,Akodon aerosus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon affinis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon albiventer,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon azarae,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Neomicroxus,Neomicroxus bogotensis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon boliviensis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon budini,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon cursor,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon dayi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon fumeus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Abrothrix,Abrothrix illutea,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon iniscatus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon juninensis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Deltamys,Deltamys kempi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon kofordi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Abrothrix,Abrothrix lanosus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Neomicroxus,Neomicroxus latebricola,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,VU
Akodon,Akodon lindberghi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Abrothrix,Abrothrix longipilis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon mimus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon molinae,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon mollis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Thaptomys,Thaptomys nigrita,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Abrothrix,Abrothrix olivaceus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon orophilus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon lutescens,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Abrothrix,Abrothrix sanborni,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Akodon,Akodon sanctipaulensis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Akodon,Akodon serrensis,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon siberiae,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Akodon,Akodon simulator,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon subfuscus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon surdus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,VU
Akodon,Akodon sylvanus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon toba,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon torques,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Necromys,Necromys urichi,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Akodon,Akodon varius,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Alaena,Alaena margaritacea,LYCAENIDAE,LEPIDOPTERA,INSECTA,ARTHROPODA,ANIMALIA,,,VU
Alasmidonta,Alasmidonta arcula,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,EN
Alasmidonta,Alasmidonta atropurpurea,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,EN
Alasmidonta,Alasmidonta heterodon,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,VU
Alasmidonta,Alasmidonta raveneliana,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,CR
Alasmidonta,Alasmidonta robusta,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,EX
Alasmidonta,Alasmidonta wrightiana,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,EX
Alasmidonta,Alasmidonta marginata,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,LC
Alasmidonta,Alasmidonta mccordi,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,EX
Alasmidonta,Alasmidonta varicosa,UNIONIDAE,UNIONOIDA,BIVALVIA,MOLLUSCA,ANIMALIA,,,VU
Alburnus,Alburnus akili,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,EX
Alburnus,Alburnus albidus,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,VU
Alburnus,Alburnus alburnus,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Alburnus,Alburnus heckeli,CYPRINIDAE,CYPRINIFORMES,ACTINOPTERYGII,CHORDATA,ANIMALIA,,,LC
Alcelaphus,Alcelaphus buselaphus ssp. swaynei,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,swaynei,,EN
Alcelaphus,Alcelaphus buselaphus ssp. tora,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,tora,,CR
Alcelaphus,Alcelaphus buselaphus,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Alcelaphus,Alcelaphus buselaphus ssp. lichtensteinii,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,lichtensteinii,,LC
Alcelaphus,Alcelaphus buselaphus ssp. buselaphus,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,buselaphus,,EX
Alcelaphus,Alcelaphus buselaphus ssp. caama,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,caama,,LC
Alcelaphus,Alcelaphus buselaphus ssp. cokii,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,cokii,,LC
Alcelaphus,Alcelaphus buselaphus ssp. lelwel,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,lelwel,,EN
Alcelaphus,Alcelaphus buselaphus ssp. major,BOVIDAE,CETARTIODACTYLA,MAMMALIA,CHORDATA,ANIMALIA,major,,VU
Algyroides,Algyroides marchi,LACERTIDAE,SQUAMATA,REPTILIA,CHORDATA,ANIMALIA,,,EN
Alionycteris,Alionycteris paucidentata,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga tetradactyla,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Allactaga,Allactaga balikunica,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga bullata,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga euphratica,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,NT
Allactaga,Allactaga firouzi,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,DD
Allactaga,Allactaga hotsoni,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga major,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga severtzovi,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
Allactaga,Allactaga sibirica,DIPODIDAE,RODENTIA,MAMMALIA,CHORDATA,ANIMALIA,,,LC
